date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-30,infections,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-30,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-30,infections,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-30,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-30,infections,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-30,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-31,infections,0,0,2,1.25,2,2,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-31,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-31,infections,0,0,2,1.25,2,2,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-31,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-31,infections,0,0,2,1.25,2,2,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-01-31,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-01,infections,0,1,1,1.46153846153846,2,3,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-01,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-01,infections,0,1,1,1.46153846153846,2,3,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-01,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-01,infections,0,1,1,1.46153846153846,2,3,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-01,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-02,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-02,infections,0,1.5,3,2.6,3.5,5.3,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-02,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-02,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-02,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-02,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-02,infections,0,1.5,3,2.6,3.5,5.3,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-02,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-02,deaths,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-02,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-02,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-02,infections,0,1.5,3,2.6,3.5,5.3,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-02,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-03,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-03,hospital_demand,0,0,0,0.0833333333333333,0,1,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-03,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-03,infections,0,2,3,3.35294117647059,5,7.6,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-03,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-03,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-03,hospital_demand,0,0,0,0.0833333333333333,0,1,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-03,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-03,infections,0,2,3,3.35294117647059,5,7.6,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-03,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-03,deaths,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-03,hospital_demand,0,0,0,0.0833333333333333,0,1,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-03,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-03,infections,0,2,3,3.35294117647059,5,7.6,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-03,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Relax Interventions 50%,Philippines,PHL,2020-06-01,v2
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-04,hospital_demand,0,0,0,0.0625,0,1,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-04,infections,0.575,2,3,3,4,6.425,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-04,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Additional 50% Reduction,Philippines,PHL,2020-06-01,v2
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-04,hospital_demand,0,0,0,0.0625,0,1,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-04,infections,0.575,2,3,3,4,6.425,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
2020-02-04,Rt,2.4885,2.76,3,2.982,3.12,3.5115,Maintain Status Quo,Philippines,PHL,2020-06-01,v2
