date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-27,infections,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-27,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,infections,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-27,infections,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-27,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-27,Rt,1.94,2.22,2.43,2.4419,2.64,3.1335,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-28,infections,0.05,0.5,1,1,1.5,1.95,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-28,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,infections,0.05,0.5,1,1,1.5,1.95,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-28,infections,0.05,0.5,1,1,1.5,1.95,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-28,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,infections,0,0,1,1,2,2,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-28,Rt,1.94,2.22,2.43,2.4419,2.64,3.1335,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-29,infections,1.05,1.5,2,2.33333333333333,3,3.9,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-29,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,infections,1.05,1.5,2,2.33333333333333,3,3.9,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-29,infections,1.05,1.5,2,2.33333333333333,3,3.9,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-29,Rt,2.01,2.15,2.36,2.4048,2.57,3.02675,Relax Interventions 50%,Moldova,MDA,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,infections,2.125,3,3.5,3.5,4,4.875,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-29,Rt,1.94,2.22,2.43,2.4419,2.64,3.1335,Surged Maintain Status Quo,Moldova,MDA,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
2020-01-30,infections,0,1,2,2.33333333333333,3.25,5.725,Additional 50% Reduction,Moldova,MDA,2020-06-01,v2
