date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-23,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-23,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-23,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-23,infections,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-23,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-23,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-23,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-23,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-23,infections,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-23,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-23,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-23,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-23,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-23,infections,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-23,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-24,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-24,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-24,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-24,infections,2,2,2,2,2,2,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-24,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-24,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-24,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-24,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-24,infections,2,2,2,2,2,2,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-24,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-24,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-24,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-24,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-24,infections,2,2,2,2,2,2,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-24,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-25,infections,6,6,6,6,6,6,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-25,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-25,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-25,infections,6,6,6,6,6,6,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-25,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-25,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-25,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-25,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-25,infections,6,6,6,6,6,6,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-25,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-26,infections,5,5,5,5,5,5,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-26,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-26,infections,5,5,5,5,5,5,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-26,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-26,infections,5,5,5,5,5,5,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-26,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-27,infections,6,6,6,6,6,6,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-27,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-27,infections,6,6,6,6,6,6,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-27,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-27,infections,6,6,6,6,6,6,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-27,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-28,infections,0,0,1,1.88888888888889,4,5.6,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-28,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-28,infections,0,0,1,1.88888888888889,4,5.6,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-28,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-28,infections,0,0,1,1.88888888888889,4,5.6,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-28,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-29,infections,1.2,3,4,3.33333333333333,4,4.8,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-29,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-29,infections,1.2,3,4,3.33333333333333,4,4.8,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-29,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-29,infections,1.2,3,4,3.33333333333333,4,4.8,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-29,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-30,infections,0.45,2.25,3.5,3.1,4,4.775,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-30,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-30,infections,0.45,2.25,3.5,3.1,4,4.775,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-30,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-30,infections,0.45,2.25,3.5,3.1,4,4.775,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-30,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-31,infections,3.225,4,4.5,5.5,6,10.875,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-31,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Additional 50% Reduction,Turkey,TUR,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-31,infections,3.225,4,4.5,5.5,6,10.875,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-31,Rt,2.58,3.21,3.345,3.3792,3.66,4.02,Maintain Status Quo,Turkey,TUR,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0.0588235294117647,0,0.600000000000001,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkey,TUR,2020-06-01,v2
