date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,infections,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,infections,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-29,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,infections,1.05,1.5,2,2,2.5,2.95,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,infections,1.05,1.5,2,2,2.5,2.95,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,infections,1.05,1.5,2,2,2.5,2.95,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-30,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,infections,0.05,0.5,1,1,1.5,1.95,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,infections,0.05,0.5,1,1,1.5,1.95,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,infections,0.05,0.5,1,1,1.5,1.95,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-01-31,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,infections,0.25,1,1,1.72727272727273,2,4.5,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,infections,0.25,1,1,1.72727272727273,2,4.5,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Maintain Status Quo,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,infections,0.25,1,1,1.72727272727273,2,4.5,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-01,Rt,2.54,2.75,3.03,3.0524,3.2575,3.66,Relax Interventions 50%,Dominican Republic,DOM,2020-06-01,v2
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Dominican Republic,DOM,2020-06-01,v2
