date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-28,deaths,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-28,infections,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-28,Rt,2.24,2.56,2.8,2.8248,3.12,3.44,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-28,infections,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-28,Rt,2.24,2.56,2.8,2.8248,3.12,3.44,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-28,deaths,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-28,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-28,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-28,infections,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-28,Rt,2.24,2.56,2.8,2.8248,3.12,3.44,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-29,infections,0,0,1,1,1,2.8,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-29,Rt,2.24,2.56,2.8,2.8248,3.12,3.44,Additional 50% Reduction,Argentina,ARG,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-29,infections,0,0,1,1,1,2.8,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-29,Rt,2.24,2.56,2.8,2.8248,3.12,3.44,Maintain Status Quo,Argentina,ARG,2020-06-01,v2
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Argentina,ARG,2020-06-01,v2
